team,team_fastr,stadium,is_current,stadium_name,lat,lon,altitude,heading,first_game_date,last_game_date,surface_type,roof_type,address,city,state,zipcode,country,tz,tz_offset,wikipedia_url,img_sat_url,img_logo_url,img_shot_url,website,nicknames,owner,operator,capacity,broke_ground,opened,closed,demolished,construction_cost,construction_cost_2023,renovation_years,expansion_years,architects,wins_l16,losses_l16,ties_l16,mov_l16,hfa_l16,wins_l80,losses_l80,ties_l80,mov_l80,hfa_l80,wins_all_time,losses_all_time,ties_all_time,mov_all_time,hfa_all_time
ARI,ARI,PHO00,True,State Farm Stadium,33.5277555,-112.2625948,325.7411644,328,2006-09-10,2025-12-21,Grass,Retractable,1 West Cardinals Drive,Glendale,Arizona,85305,United States,America/Phoenix,-7,https://en.wikipedia.org//wiki/State_Farm_Stadium,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/PHO00.png,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/State_Farm_Stadium_logo.svg/220px-State_Farm_Stadium_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/State_Farm_Stadium_2022.jpg/250px-State_Farm_Stadium_2022.jpg,https://www.statefarmstadium.com/,,Arizona Sports and Tourism Authority,ASM Global,63400.0,2003.0,2006,,,455000000.0,688000000.0,"2014, 2017",,"Eisenman Architects, Populous",5.0,3.0,0.0,8.75,8.631,14.0,24.0,0.0,-1.342,1.202,81.0,73.0,2.0,0.603,2.13
ATL,ATL,ATL97,True,Mercedes-Benz Stadium,33.7555052,-84.4008484,307.3689347,80,2017-09-17,2026-01-04,Turf,Retractable,"1414 Andrew Young International Blvd,  Castleberry Hill",Atlanta,Georgia,30313,United States,America/New_York,-5,https://en.wikipedia.org/wiki/Mercedes-Benz_Stadium,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/ATL97.png,https://upload.wikimedia.org/wikipedia/en/thumb/e/ed/Mercedes-Benz_Stadium_logo.svg/150px-Mercedes-Benz_Stadium_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Mercedes-Benz_Stadium_Interior_in_2024.jpg/250px-Mercedes-Benz_Stadium_Interior_in_2024.jpg,https://mercedesbenzstadium.com/,The Benz,Georgia World Congress Center Authority,AMB Sports and Entertainment Group,71000.0,2014.0,2017,,,1600000000.0,1990000000.0,,,"HOK, tvsdesign",4.0,3.0,0.0,5.286,8.851,18.0,18.0,0.0,-0.222,2.705,32.0,36.0,0.0,0.529,1.404
BAL,BAL,BAL00,True,M&T Bank Stadium,39.277958,-76.6227221,3.079367761,290,1999-09-19,2025-12-21,Grass,Outdoors,1101 Russell Street,Baltimore,Maryland,21230,United States,America/New_York,-5,https://en.wikipedia.org//wiki/M%26T_Bank_Stadium,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/BAL00.png,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/M%26T_Bank_Stadium_Logo.svg/150px-M%26T_Bank_Stadium_Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/M%26T_Bank_Stadium_Aerial_2022.jpg/250px-M%26T_Bank_Stadium_Aerial_2022.jpg,https://www.baltimoreravens.com/stadium/,"The Bank, Ravens Flock, The Vault, The Big Crabcake",Maryland Stadium Authority,Baltimore Ravens,,1996.0,1998,,,220000000.0,411000000.0,,,HOK Sport (now Populous),5.0,4.0,0.0,4.111,-2.136,24.0,15.0,0.0,6.051,1.722,150.0,64.0,0.0,7.818,4.209
BUF,BUF,BUF00,True,New Era Field,42.7737531,-78.786954,218.2993413,302,1999-09-19,2026-01-04,Turf,Outdoors,"Highmark Blue Cross Blue Shield Stadium,  Bills Drive",Orchard Park,New York,14127,United States,America/New_York,-5,https://en.wikipedia.org/wiki/Highmark_Stadium_(New_York),https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/BUF00.png,https://upload.wikimedia.org/wikipedia/en/thumb/a/a3/Highmark_Stadium_%28New_York%29_logo.svg/220px-Highmark_Stadium_%28New_York%29_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Highmark_Stadium%2C_autumn_2022.jpg/250px-Highmark_Stadium%2C_autumn_2022.jpg,https://www.buffalobills.com/stadium/,The Ralph,Erie County,Buffalo Bills,71608.0,1972.0,1973,,,22000000.0,151000000.0,"1998, 2013",,"HNTB, Populous",8.0,1.0,0.0,9.556,-0.79,31.0,6.0,0.0,13.189,3.601,122.0,83.0,0.0,3.298,3.121
CAR,CAR,CAR00,True,Bank of America Stadium,35.2258152,-80.8528376,220.996142,320,1999-09-19,2025-12-28,Grass,Outdoors,"800 South Mint Street,  Third Ward,  Uptown",Charlotte,North Carolina,28202,United States,America/New_York,-5,https://en.wikipedia.org//wiki/Bank_of_America_Stadium,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/CAR00.png,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Bank_of_America_Stadium_logo.png/220px-Bank_of_America_Stadium_logo.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/BofAStadium2015.JPG/250px-BofAStadium2015.JPG,https://www.panthers.com/stadium/,"The Bank, BofA, BoA",Tepper Sports and Entertainment,Tepper Sports and Entertainment,,1994.0,1996,,,500000000.0,,"2007, 2014, 2017, 2019, 2020","1997, 1998, 2005, 2007, 2008, 2014, 2015, 2017",Populous,5.0,3.0,0.0,2.625,13.502,14.0,23.0,0.0,-3.622,2.921,107.0,105.0,0.0,0.344,1.51
CHI,CHI,CHI98,True,Soldier Field,41.8624598,-87.6167762,177.3216557,356,1999-09-12,2026-01-04,Grass,Outdoors,"425 East Waldron Drive,  South Loop,  Near South Side",Chicago,Illinois,60605,United States,America/Chicago,-6,https://en.wikipedia.org/wiki/Soldier_Field,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/CHI98.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/c4/Soldier_Field_Logo.svg/200px-Soldier_Field_Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Soldier_Field_S.jpg/250px-Soldier_Field_S.jpg,https://www.soldierfield.com/,,Chicago Park District,SMG,66944.0,1922.0,1924,2002.0,,,,"2002, 2003",,"Holabird & Roche (original)Wood + Zapata, Inc.Lohan Caprile Goettsch Architects (renovations), Holabird & Roche, Wood + Zapata, Inc.",1.0,6.0,0.0,-3.714,2.564,15.0,23.0,0.0,0.158,3.477,106.0,97.0,0.0,1.404,2.627
CIN,CIN,CIN00,True,Paycor Stadium,39.0954306,-84.5160435,146.4175612,321,2000-09-10,2026-01-04,Turf,Outdoors,"Paul Brown Stadium,  West Freedom Way,  The Banks",Cincinnati,Ohio,45202-2209,United States,America/New_York,-5,https://en.wikipedia.org/wiki/Paycor_Stadium,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/CIN00.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/73/Paycor_Stadium_logo.svg/200px-Paycor_Stadium_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Paul_Brown_Stadium_interior_2017.jpg/250px-Paul_Brown_Stadium_interior_2017.jpg,,The Jungle,Hamilton County,Cincinnati Bengals,65515.0,1998.0,2000,,,455000000.0,805000000.0,,,"NBBJ, Moody Nolan",4.0,3.0,0.0,0.857,-1.268,22.0,15.0,0.0,2.514,2.059,109.0,91.0,2.0,0.475,2.069
CLE,CLE,CLE00,True,FirstEnergy Stadium,41.5060371,-81.699586,177.3562525,56,1999-09-12,2025-12-28,Grass,Outdoors,"100 Alfred Lerner Way,  The Flats,  Warehouse District",Cleveland,Ohio,44113,United States,America/New_York,-5,https://en.wikipedia.org/wiki/Huntington_Bank_Field,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/CLE00.png,,https://upload.wikimedia.org/wikipedia/en/thumb/7/7d/Huntington_Bank_Field.jpg/220px-Huntington_Bank_Field.jpg,https://huntingtonbankfield.com/,,City of Cleveland,Cleveland Browns,67431.0,1997.0,1999,,,283000000.0,518000000.0,,,HOK Sport,3.0,5.0,0.0,-5.375,3.768,22.0,16.0,0.0,0.921,2.904,87.0,123.0,1.0,-3.005,2.388
DAL,DAL,DAL00,True,AT&T Stadium,32.7479723,-97.0928461,242.5335228,69,2009-09-20,2025-12-21,Turf,Retractable,900 East Randol Mill Road,Arlington,Texas,76011,United States,America/Chicago,-6,https://en.wikipedia.org//wiki/AT%26T_Stadium,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/DAL00.png,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/AT%26T_Stadium_logo.svg/175px-AT%26T_Stadium_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Arlington_June_2020_4_%28AT%26T_Stadium%29.jpg/250px-Arlington_June_2020_4_%28AT%26T_Stadium%29.jpg,https://attstadium.com/,"Jerry’s World, The Palace in Dallas, The Cowboys Cathedral",,Dallas Cowboys,80000.0,2005.0,2009,,,1300000000.0,1850000000.0,,,"HKS, Inc.",3.0,4.0,1.0,-6.375,-4.545,26.0,11.0,1.0,7.632,4.28,77.0,54.0,1.0,4.061,2.192
DEN,DEN,DEN00,True,Empower Field at Mile High,39.7439402,-105.0201065,1583.586238,0,2001-09-10,2026-01-04,Grass,Outdoors,"1701 Mile High Stadium Circle,  Jefferson Park",Denver,Colorado,80204,United States,America/Denver,-7,https://en.wikipedia.org/wiki/Empower_Field_at_Mile_High,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/DEN00.png,https://upload.wikimedia.org/wikipedia/en/thumb/f/f2/Empower_Field_logo.svg/150px-Empower_Field_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Empower_Field_at_Mile_High_20241001.jpg/250px-Empower_Field_at_Mile_High_20241001.jpg,https://www.empowerfieldatmilehigh.com/,,Metropolitan Football Stadium District,,76125.0,1999.0,2001,,,400900000.0,733000000.0,,,"HNTBFentress ArchitectsBertram A. Burton and Associates, HNTB, Fentress Architects",7.0,0.0,0.0,20.571,17.088,21.0,17.0,0.0,4.316,6.268,122.0,74.0,0.0,3.735,2.879
DET,DET,DET00,True,Ford Field,42.3401334,-83.0456783,183.8274211,334,2002-09-22,2025-12-21,Turf,Dome,"Ford Field,  Brush Street,  Greektown,  Midtown",Detroit,Michigan,48226,United States,America/Detroit,-5,https://en.wikipedia.org//wiki/Ford_Field,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/DET00.png,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Ford_field_stadium_logo.svg/200px-Ford_field_stadium_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Detroit_December_2015_09_%28Ford_Field%29.jpg/250px-Detroit_December_2015_09_%28Ford_Field%29.jpg,http://fordfield.com,,Detroit/Wayne County Stadium Authority,Detroit Lions,65000.0,1999.0,2002,,,500000000.0,847000000.0,2017,,Rossetti Architects,7.0,1.0,0.0,20.125,11.534,23.0,16.0,0.0,5.692,7.163,88.0,100.0,0.0,0.032,4.696
GB,GB,GNB00,True,Lambeau Field,44.5014769,-88.0621617,188.873969,359,1999-09-12,2025-12-28,Grass,Outdoors,"1265 Lombardi Avenue,  Lombardi",Green Bay,Wisconsin,54304,United States,America/Chicago,-6,https://en.wikipedia.org/wiki/Lambeau_Field,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/GNB00.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Lambeau_Field_logo.svg/200px-Lambeau_Field_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Packers_vs_Patriots.jpg/250px-Packers_vs_Patriots.jpg,https://www.packers.com/lambeau-field/,"The Frozen Tundra, Titletown USA, The Shrine of Pro Football",City of Green Bay,,81441.0,1956.0,1957,,,,,"2001, 2003, 2012, 2015, 2023","1961, 1963, 1965, 1970, 1985, 1990, 1995, 2003, 2013, 2023",Ellerbe Becket,6.0,2.0,0.0,11.875,7.051,28.0,9.0,0.0,7.622,3.324,153.0,57.0,2.0,7.509,3.684
HOU,HOU,HOU00,True,NRG Stadium,29.6849239,-95.41082,15.24608393,0,2002-09-08,2026-01-04,Turf,Retractable,1 NRG Parkway,Houston,Texas,77054,United States,America/Chicago,-6,https://en.wikipedia.org//wiki/NRG_Stadium,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/HOU00.png,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/NRG_Stadium_Logo.svg/150px-NRG_Stadium_Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/NRG_Stadium_SBLI.jpg/250px-NRG_Stadium_SBLI.jpg,https://www.nrgpark.com/nrg-park-facilities-2/nrg-stadium/,,,ASM Global,,2000.0,2002,,,352000000.0,596000000.0,,,"HOK Sport, Lockwood, Andrews & Newnam",3.0,4.0,0.0,-0.143,0.287,14.0,23.0,1.0,-3.026,1.678,93.0,94.0,1.0,0.043,2.329
IND,IND,IND00,True,Lucas Oil Stadium,39.7602037,-86.1638068,216.36017,26,2008-09-07,2025-12-28,Turf,Retractable,"Lucas Oil Stadium,  West South Street,  Old Southside",Indianapolis,Indiana,46225,United States,America/Indiana/Indianapolis,-5,https://en.wikipedia.org//wiki/Lucas_Oil_Stadium,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/IND00.png,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Lucas_Oil_Stadium_logo.svg/200px-Lucas_Oil_Stadium_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Aerial_view_of_Indianapolis%2C_Indiana%2C_with_a_focus_on_Lucas_Oil_Stadium%2C_highsm.40934.jpg/250px-Aerial_view_of_Indianapolis%2C_Indiana%2C_with_a_focus_on_Lucas_Oil_Stadium%2C_highsm.40934.jpg,https://www.lucasoilstadium.com/,,Indiana Stadium and Convention Building Authority ( State of Indiana ),"Capital Improvement Board of Managers of Marion County, Indiana",70000.0,2005.0,2008,,,720000000.0,1000000000.0,,,"HKS, Inc.",6.0,2.0,0.0,5.875,7.996,20.0,19.0,0.0,2.103,2.695,87.0,55.0,0.0,2.951,1.168
JAX,JAX,JAX00,True,TIAA Bank Stadium,30.3239164,-81.6373486,1.493460515,14,1999-09-12,2026-01-04,Grass,Outdoors,1 Gator Bowl Boulevard,Jacksonville,Florida,32202,United States,America/New_York,-5,https://en.wikipedia.org/wiki/EverBank_Stadium,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/JAX00.png,,https://upload.wikimedia.org/wikipedia/en/thumb/2/22/EverBank_Stadium.jpg/220px-EverBank_Stadium.jpg,https://everbankstadium.com/,The Bank,City of Jacksonville,ASM Global,67814.0,1994.0,1995,,,121000000.0,249000000.0,"2003, 2014, 2016",,HOK Sport,4.0,4.0,0.0,1.25,5.681,15.0,20.0,0.0,-1.943,3.921,96.0,107.0,0.0,0.172,3.135
KC,KC,KAN00,True,GEHA Field at Arrowhead Stadium,39.0489275,-94.4839962,256.8486826,316,1999-09-19,2025-12-25,Grass,Outdoors,1 Arrowhead Drive,Kansas City,Missouri,64129,United States,America/Chicago,-6,https://en.wikipedia.org//wiki/Arrowhead_Stadium,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/KAN00.png,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/GEHA_Field_at_Arrowhead.svg/200px-GEHA_Field_at_Arrowhead.svg.png,https://www.chiefs.com/stadium,Arrowhead,Jackson County Sports Complex Authority,Kansas City Chiefs,,1968.0,1972,,,,,"1991, 1994, 2007, 2010","1995, 1997","Kivett and Myers, Populous",7.0,1.0,0.0,5.875,-1.836,29.0,9.0,0.0,5.974,-2.831,134.0,77.0,0.0,4.569,2.455
LAC,LAC,LAX01,True,SoFi Stadium,33.953485,-118.3390307,36.95138076,335,2020-09-13,2026-01-04,Turf,Dome,"SoFi Stadium,  Pincay Drive",Inglewood,California,90306,United States,America/Los_Angeles,-8,https://en.wikipedia.org//wiki/SoFi_Stadium,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/LAX01.png,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/SoFi_Stadium_Logo.svg/200px-SoFi_Stadium_Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/SoFi_Stadium_2023.jpg/250px-SoFi_Stadium_2023.jpg,https://www.sofistadium.com/,,"StadCo LA, LLC (a Kroenke Sports & Entertainment company) Hollywood Park Land Company, LLC (a joint venture of The Flesher Group and Stockbridge Capital Group )","StadCo LA, LLC",70240.0,2016.0,2020,,,,7060000000.0,,,"HKS, Inc.",5.0,3.0,0.0,-0.25,0.91,19.0,18.0,0.0,0.703,1.976,22.0,22.0,0.0,-0.295,1.099
LAR,LA,LAX01,True,SoFi Stadium,33.953485,-118.3390307,36.95138076,335,2020-09-13,2026-01-04,Turf,Dome,"SoFi Stadium,  Pincay Drive",Inglewood,California,90306,United States,America/Los_Angeles,-8,https://en.wikipedia.org//wiki/SoFi_Stadium,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/LAX01.png,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/SoFi_Stadium_Logo.svg/200px-SoFi_Stadium_Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/SoFi_Stadium_2023.jpg/250px-SoFi_Stadium_2023.jpg,https://www.sofistadium.com/,,"StadCo LA, LLC (a Kroenke Sports & Entertainment company) Hollywood Park Land Company, LLC (a joint venture of The Flesher Group and Stockbridge Capital Group )","StadCo LA, LLC",70240.0,2016.0,2020,,,,7060000000.0,,,"HKS, Inc.",5.0,4.0,0.0,-0.556,-0.708,22.0,17.0,0.0,1.872,0.149,27.0,18.0,0.0,2.733,0.922
MIA,MIA,MIA00,True,Hard Rock Stadium,25.9579623,-80.2388423,2.579987934,301,1999-09-19,2025-12-28,Grass,Outdoors,"Hard Rock Stadium,  Northwest 203rd Street,  Lake Lucerne",Miami Gardens,Florida,33056,United States,America/New_York,-5,https://en.wikipedia.org//wiki/Hard_Rock_Stadium,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/MIA00.png,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Hard_rock_stadium_florida_logo.svg/150px-Hard_rock_stadium_florida_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Hard_Rock_Stadium_for_Super_Bowl_LIV_%2849606707583%29.jpg/250px-Hard_Rock_Stadium_for_Super_Bowl_LIV_%2849606707583%29.jpg,https://www.hardrockstadium.com/,,Stephen M. Ross,,64767.0,1985.0,1987,,,115000000.0,326000000.0,,,HOK,5.0,2.0,0.0,7.143,4.622,25.0,12.0,0.0,5.811,3.819,120.0,90.0,0.0,1.538,2.516
MIN,MIN,MIN01,True,U.S. Bank Stadium,44.9736273,-93.2574111,260.7524089,312,2016-09-18,2026-01-04,Turf,Dome,"U.S. Bank Stadium,  U.S. Bank Stadium Station",Minneapolis,Minnesota,55415,United States,America/Chicago,-6,https://en.wikipedia.org//wiki/U.S._Bank_Stadium,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/MIN01.png,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/US_Bank_Stadium_Minnesota_logo.svg/220px-US_Bank_Stadium_Minnesota_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/U.S._Bank_Stadium_2021-09-23.jpg/250px-U.S._Bank_Stadium_2021-09-23.jpg,http://usbankstadium.com,"The Ship, “The Bank”",Minnesota Sports Facilities Authority,ASM Global,66655.0,2013.0,2016,,,1061000000.0,1350000000.0,,,"HKS, Inc.",6.0,2.0,0.0,8.75,4.183,24.0,13.0,0.0,2.865,1.296,49.0,26.0,0.0,4.093,1.471
NE,NE,BOS00,True,Gillette Stadium,42.0909217,-71.2643321,78.00606072,342,2002-09-09,2026-01-04,Turf,Outdoors,1 Patriot Place,Foxborough,Massachusetts,2035,United States,America/New_York,-5,https://en.wikipedia.org/wiki/Gillette_Stadium,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/BOS00.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Gilette_Stadium_Logo.svg/200px-Gilette_Stadium_Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Gillette_Stadium_%28Top_View%29.jpg/250px-Gillette_Stadium_%28Top_View%29.jpg,https://www.gillettestadium.com/,,Kraft Group,Kraft Group,64628.0,2000.0,2002,,,325000000.0,551000000.0,"2023, 2023",,Populous,3.0,5.0,0.0,-1.875,3.562,13.0,25.0,0.0,-0.368,1.52,138.0,50.0,0.0,8.532,1.515
NO,NO,NOR00,True,Mercedes-Benz Superdome,29.9511425,-90.0810779,0.5104131151,292,1999-09-12,2025-12-21,Turf,Dome,"1500 Sugar Bowl Drive,  Storyville",New Orleans,Louisiana,70112,United States,America/Chicago,-6,https://en.wikipedia.org/wiki/Caesars_Superdome,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/NOR00.png,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Caesars_Superdome_logo.svg/220px-Caesars_Superdome_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Louisiana_Superdome%2C_New_Orleans%2C_USA1.jpg/250px-Louisiana_Superdome%2C_New_Orleans%2C_USA1.jpg,https://www.caesarssuperdome.com/,The Super-dome,The Louisiana Stadium and Exposition District,ASM Global,73208.0,1971.0,1975,,,,,,,,3.0,6.0,0.0,-0.556,-0.107,16.0,21.0,0.0,0.486,-1.431,115.0,88.0,0.0,3.394,1.718
